"","Gene.Symbol","Ensembl.id","Ensembl.id.version","Entrez.GeneId","Name","Tier","Genome.Location","Hallmark","Chr.Band","Somatic","Germline","Tumour.Types.Somatic.","Tumour.Types.Germline.","Cancer.Syndrome","Tissue.Type","Molecular.Genetics","Role.in.Cancer","Mutation.Types","Translocation.Partner","Other.Germline.Mut","Other.Syndrome","COSMIC.ID","cosmic.gene.name","Synonyms"
"550","QKI","ENSG00000112531.16","ENSG00000112531",9444,"QKI, KH domain containing, RNA binding ",1,"6:163414643-163578596","Yes",26,"yes","","angiocentric glioma, colorectal cancer","","","E, O","Dom","oncogene, TSG","Mis, F, T","MYB","","","COSG258331","QKI","9444,ENSG00000112531.16,Q96PU8,QK3,QKI"
"551","RABEP1","ENSG00000029725.16","ENSG00000029725",9135,"rabaptin, RAB GTPase binding effector protein 1",1,"17:5282300-5385812","Yes",13.2,"yes","","CMML","","","L","Dom","fusion","T","PDGFRB","","","COSG352471","RABEP1","9135,ENSG00000029725.16,Q15276,RAB5EP,RABEP1,RABPT5,neurocrescin,rabaptin-5"
"552","RAC1","ENSG00000136238.17","ENSG00000136238",5879,"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)",1,"7:6374539-6402520","Yes",22.1,"yes","","melanoma, carcinoma","","","E","Dom","oncogene","Mis, F","","","","COSG295726","RAC1","5879,ENSG00000136238.17,P63000,RAC1,Rac-1,TC-25,p21-Rac1"
"553","RAD17","ENSG00000152942.18","ENSG00000152942",5884,"RAD17 checkpoint clamp loader component",2,"5:69369806-69414801","",13.2,"yes","","lymphoma, colon cancer","","","E, L","","TSG","D","","","","COSG399473","RAD17","5884,CCYC,ENSG00000152942.18,O75943,RAD17,RAD17Sp,Rad24"
"554","RAD21","ENSG00000164754.14","ENSG00000164754",5885,"RAD21 homolog (S. pombe)",1,"8:116845935-116874866","Yes",24.11,"yes","","AML, endometrium, colorectal, lung","","","L, E","Rec","oncogene, TSG","Mis, N, F","","yes  ","Cornelia de Lange syndrome-4","COSG371839","RAD21","5885,ENSG00000164754.14,KIAA0078,O60216,RAD21,SCC1,hHR21"
"555","RAD51B","ENSG00000182185.18","ENSG00000182185",5890,"RAD51 paralog B",1,"14:67819779-68611565","",24.1,"yes","","lipoma, uterine leiomyoma","","","M","Dom","TSG, fusion","T","HMGA2","","","COSG329115","RAD51B","5890,ENSG00000182185.18,R51H2,RAD51B,RAD51L1,REC2,hREC2"
"556","RAF1","ENSG00000132155.11","ENSG00000132155",5894,"v-raf-1 murine leukemia viral oncogene homolog 1",1,"3:12583601-12664226","Yes",25.2,"yes","","pilocytic astrocytoma, prostate","","","O, E","Dom","oncogene, fusion","T, A","SRGAP3, ESRP1","","","COSG276850","RAF1","5894,CRAF,ENSG00000132155.11,P04049,RAF1,Raf-1,c-Raf"
"557","RALGDS","ENSG00000160271.15","ENSG00000160271",5900,"ral guanine nucleotide dissociation stimulator",2,"9:133097720-133121176","",34.2,"yes","","PMBL, Hodgkin lymphoma,","","","L","Dom","fusion","T","CIITA","","","COSG307884","RALGDS","5900,ENSG00000160271.15,Q12967,RALGDS,RGDS,RGF,RalGEF"
"558","RANBP2","ENSG00000153201.15","ENSG00000153201",5903,"RAN binding protein 2",1,"2:108719481-108785811","Yes",13,"yes","","inflammatory myofibroblastic tumour","","","M","Dom","TSG, fusion","T","ALK","","","COSG377691","RANBP2","5903,ADANE,ANE1,ENSG00000153201.15,NUP358,P49792,RANBP2"
"559","RAP1GDS1","ENSG00000138698.14","ENSG00000138698",5910,"RAP1, GTP-GDP dissociation stimulator 1",1,"4:98261518-98442334","Yes",23,"yes","","T-ALL","","","L","Dom","oncogene, fusion","T","NUP98","","","COSG382853","RAP1GDS1","5910,ENSG00000138698.14,P52306,RAP1GDS1,SmgGDS"
"560","RARA","ENSG00000131759.17","ENSG00000131759",5914,"retinoic acid receptor, alpha",1,"17:40309194-40356796","",21.2,"yes","","APL","","","L","Dom","oncogene, fusion","T","PML, ZBTB16, TRIM24, NUMA1, NPM1","","","COSG310706","RARA","5914,ENSG00000131759.17,NR1B1,P10276,RAR,RARA"
"561","RB1","ENSG00000139687.14","ENSG00000139687",5925,"retinoblastoma gene",1,"13:48303726-48481890","Yes",14.2,"yes","yes","retinoblastoma, sarcoma, breast, small cell lung carcinoma","retinoblastoma, sarcoma, breast, small cell lung carcinoma","familial retinoblastoma","L, E, M, O","Rec","TSG","D, Mis, N, F, S","","","","COSG250675","RB1","5925,ENSG00000139687.14,OSRC,P06400,PPP1R130,RB,RB1"
"562","RBM10","ENSG00000182872.15","ENSG00000182872",8241,"RNA binding motif protein 10 ",1,"X:47145447-47186812","Yes",11.3,"yes","","lung adenocarcinoma","","","E","Rec/X","TSG","Mis, F, N","","yes  ","TARP syndrome","COSG373544","RBM10","8241,DXS8237E,ENSG00000182872.15,GPATC9,GPATCH9,KIAA0122,P98175,RBM10,S1-1,ZRANB5"
"563","RBM15","ENSG00000162775.14","ENSG00000162775",64783,"RNA binding motif protein 15",1,"1:110338506-110346677","Yes",13.3,"yes","","acute megakaryocytic leukaemia","","","L","Dom","fusion","T","MKL1","","","COSG335999","RBM15","64783,ENSG00000162775.14,OTT,OTT1,Q96T37,RBM15"
"564","RECQL4","ENSG00000160957.12","ENSG00000160957",9401,"RecQ protein-like 4",1,"8:144511291-144517826","Yes",24.3,"","yes","","osteosarcoma, skin basal cell, skin sqamous cell","Rothmund-Thompson syndrome","M","Rec","oncogene, TSG","N, F, S","","","","COSG327759","RECQL4","9401,ENSG00000160957.12,O94761,RECQL4,RecQ4"
"565","REL","ENSG00000162924.14","ENSG00000162924",5966,"v-rel reticuloendotheliosis viral oncogene homolog (avian)",1,"2:60881521-60931610","",16.1,"yes","","Hodgkin lymphoma","","","L","Dom","oncogene","A","","","","COSG231008","REL","5966,ENSG00000162924.14,I-Rel,Q04864,REL,c-Rel"
"566","RET","ENSG00000165731.18","ENSG00000165731",5979,"ret proto-oncogene",1,"10:43077027-43130351","Yes",11.21,"yes","yes","medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour","medullary thyroid,  papillary thyroid, pheochromocytoma","multiple endocrine neoplasia 2A/2B","E, O","Dom","oncogene, fusion","T, Mis, N, F","H4, PRKAR1A, NCOA4, PCM1, GOLGA5, TRIM33, KTN1, TRIM27, HOOK3, KIF5B, CCDC6","yes  ","Hirschsprung disease","COSG206185","RET","5979,CDHF12,CDHR16,ENSG00000165731.18,HSCR1,MEN2A,MEN2B,MTC1,P07949,PTC,RET,RET51"
"567","RFWD3","ENSG00000168411.13","ENSG00000168411",55159,"ring finger and WD repeat domain 3",2,"16:74621394-74666881","",23.1,"yes","yes","lung cancer","","Fanconi anemia W","E","","TSG","D","","","","COSG332437","RFWD3","55159,ENSG00000168411.13,FANCW,FLJ10520,Q6PCD5,RFWD3,RNF201"
"568","RGPD3","ENSG00000153165.18","ENSG00000153165",653489,"RANBP2-like and GRIP domain containing 3",2,"2:106404990-106468376","",12.2,"yes","","endometrioid adenocarcinoma","","","E","","","Mis","","","","COSG363448","RGPD3","653489,A6NKT7,ENSG00000153165.18,RGP3,RGPD3"
"569","RGS7","ENSG00000182901.16","ENSG00000182901",6000,"regulator of G protein signaling 7",2,"1:240775515-241357230","",43,"yes","","melanoma","","","E","","","Mis","","","","COSG380698","RGS7","6000,ENSG00000182901.16,P49802,RGS7"
"570","RHOA","ENSG00000067560.10","ENSG00000067560",387,"ras homolog family member A",1,"3:49359145-49412202","Yes",21.31,"yes","","diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma","","","E, L","Dom","oncogene, TSG","Mis, F, O","","","","COSG389577","RHOA","387,ARH12,ARHA,ENSG00000067560.10,P61586,RHOA,RHOH12,Rho12,RhoA"
"571","RHOH","ENSG00000168421.12","ENSG00000168421",399,"ras homolog family member H",1,"4:40196907-40246967","Yes",14,"yes","","NHL","","","L","Dom","TSG, fusion","T","BCL6","","","COSG221873","RHOH","399,ARHH,ENSG00000168421.12,Q15669,RHOH,RhoH,TTF"
"572","RMI2","ENSG00000175643.8","ENSG00000175643",116028,"RecQ mediated genome instability 2",1,"16:11345431-11351762","",13.13,"yes","","PMBL, Hodgkin lymphoma","","","L","Dom","TSG, fusion","T","CIITA","","","COSG218628","RMI2","116028,BLAP18,C16orf75,ENSG00000175643.8,MGC24665,Q96E14,RMI2"
"573","RNF213","ENSG00000173821.19","ENSG00000173821",57674,"ring finger protein 213",1,"17:80260868-80398786","Yes",25.3,"yes","","ALCL","","","L","Dom","fusion","T","ALK","","","COSG319962","RNF213","57674,ALO17,C17orf27,ENSG00000173821.19,KIAA1554,KIAA1618,MYMY2,NET57,RNF213"
"574","RNF43","ENSG00000108375.12","ENSG00000108375",54894,"ring finger protein 43",1,"17:58353676-58417533","Yes",22,"yes","","cholangiocarcinoma, ovary, pancreas","","","E","Rec","TSG","Mis, N, F, S","","","","COSG217347","RNF43","54894,DKFZp781H0392,ENSG00000108375.12,FLJ20315,Q68DV7,RNF43,URCC"
"575","ROBO2","ENSG00000185008.17","ENSG00000185008",6092,"roundabout guidance receptor 2",2,"3:75906695-77647510","",12.3,"yes","","colorectal adenocarcinoma, melanoma","","","E","","TSG","F","","","","COSG207493","ROBO2","6092,ENSG00000185008.17,KIAA1568,Q9HCK4,ROBO2"
"576","ROS1","ENSG00000047936.10","ENSG00000047936",6098,"v-ros UR2 sarcoma virus oncogene homolog 1 (avian)",1,"6:117288300-117425855","Yes",22.1,"yes","","glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian","","","O, E","Dom","oncogene, fusion","T","GOPC, SDC4, SLC34A2, EZR, LRIG3, HLA-A, MYO5A, PPFIBP1, ERC1, CLIP1, TPM3, ZCCHHC8, KIAA1598, PWWP2A","","","COSG343599","ROS1","6098,ENSG00000047936.10,MCF3,P08922,ROS,ROS1,c-ros-1"
"577","RPL10","ENSG00000147403.16","ENSG00000147403",6134,"ribosomal protein L10",1,"X:154398230-154402339","",28,"yes","","T-ALL","","","L","Dom","TSG","Mis","","","","COSG391241","RPL10","6134,DXS648,DXS648E,ENSG00000147403.16,FLJ23544,L10,NOV,P27635,QM,RPL10"
"578","RPL22","ENSG00000116251.9","ENSG00000116251",6146,"ribosomal protein L22 (EAP)",1,"1:6185020-6199612","",36.31,"yes","","AML, CML","","","L","Dom","TSG, fusion","T","RUNX1","","","COSG319129","RPL22","6146,EAP,ENSG00000116251.9,L22,P35268,RPL22"
"579","RPL5","ENSG00000122406.13","ENSG00000122406",6125,"ribososomal protein L5",1,"1:92831983-92841924","",22.1,"yes","","T-ALL","","","L","Dom","TSG","Mis, N, F","","yes  ","Diamond-Blackfan anaemia","COSG369876","RPL5","6125,ENSG00000122406.13,L5,PPP1R135,RPL5,uL18"
"580","RPN1","ENSG00000163902.11","ENSG00000163902",6184,"ribophorin I",1,"3:128619970-128650849","",21.3,"yes","","AML","","","L","Dom","fusion","T","MECOM","","","COSG295082","RPN1","6184,ENSG00000163902.11,OST1,P04843,RPN1"
"581","RSPO2","ENSG00000147655.10","ENSG00000147655",340419,"R-spondin 2",1,"8:107899317-108083648","",23.1,"yes","","colorectal","","","E","Dom","TSG, fusion","T","EIF3E","","","COSG255927","RSPO2","340419,ENSG00000147655.10,MGC35555,Q6UXX9,RSPO2"
"582","RSPO3","ENSG00000146374.13","ENSG00000146374",84870,"R-spondin 3",1,"6:127118604-127197296","",22.33,"yes","","colorectal","","","E","Dom","oncogene, fusion","T","PTPRK","","","COSG397470","RSPO3","84870,ENSG00000146374.13,FLJ14440,Q9BXY4,RSPO3,THSD2"
"583","RUNX1","ENSG00000159216.18","ENSG00000159216",861,"runt-related transcription factor 1  (AML1)",1,"21:34787801-35049344","",22.12,"yes","","AML, pre B-ALL, T-ALL","","","L","Dom","oncogene, TSG, fusion","T","RPL22, MECOM, CBFA2T3, RUNX1T1, ETV6, AFF3","","","COSG202735","RUNX1","861,AML1,AMLCR1,CBFA2,ENSG00000159216.18,PEBP2A2,Q01196,RUNX1"
"584","RUNX1T1","ENSG00000079102.16","ENSG00000079102",862,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)",1,"8:91954967-92095654","Yes",21.3,"yes","","AML","","","L","Dom","oncogene, TSG, fusion","T","KMT2A, RUNX1","","","COSG301600","RUNX1T1","862,AML1T1,CBFA2T1,CDR,ENSG00000079102.16,ETO,MTG8,RUNX1T1,ZMYND2"
"585","S100A7","ENSG00000143556.8","ENSG00000143556",6278,"S100 calcium binding protein A7",2,"1:153457744-153460701","",21.3,"yes","","melanoma, T-cell lymphoma","","","E, L","","fusion","Mis, T","VAV1","","","COSG206609","S100A7","6278,ENSG00000143556.8,P31151,PSOR1,S100A7,S100A7c"
"586","SALL4","ENSG00000101115.12","ENSG00000101115",57167,"spalt like transcription factor 4",1,"20:51782331-51802520","",13.2,"yes","","colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma","","","E","","oncogene","Mis, F","","","Duane-radial ray syndrome","COSG205125","SALL4","57167,ENSG00000101115.12,Q9UJQ4,SALL4,ZNF797,dJ1112F19.1"
"587","SBDS","ENSG00000126524.9","ENSG00000126524",51119,"Shwachman-Bodian-Diamond syndrome protein",1,"7:66987677-66995601","",11.21,"","yes","","AML, MDS","Schwachman-Diamond syndrome","L","Rec","TSG","F, N, O","","","","COSG297453","SBDS","51119,CGI-97,ENSG00000126524.9,FLJ10917,Q9Y3A5,SBDS,SDS,SWDS"
"588","SDC4","ENSG00000124145.6","ENSG00000124145",6385,"syndecan 4",1,"20:45325288-45348424","",13.12,"yes","","NSCLC","","","E","Dom","fusion","T","ROS1","","","COSG336574","SDC4","6385,ENSG00000124145.6,P31431,SDC4,SYND4,amphiglycan,ryudocan"
"589","SDHA","ENSG00000073578.16","ENSG00000073578",6389,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",1,"5:218241-256700","Yes",15.33,"yes","yes","GIST, paraganglioma","paraganglioma","paragangliomas-5 (PGL5)","M, O","Rec","TSG","Mis, N","","","","COSG345611","SDHA","6389,ENSG00000073578.16,FP,P31040,SDH2,SDHA,SDHF"
"590","SDHAF2","ENSG00000167985.6","ENSG00000167985",54949,"succinate dehydrogenase complex assembly factor 2",1,"11:61430073-61447529","",12.2,"","yes","","paraganglioma","familial paraganglioma","M","Rec","TSG","M","","","","COSG259351","SDHAF2","54949,C11orf79,ENSG00000167985.6,FLJ20487,PGL2,Q9NX18,SDH5,SDHAF2"
"591","SDHB","ENSG00000117118.9","ENSG00000117118",6390,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",1,"1:17018722-17054170","",36.13,"","yes","","paraganglioma, pheochromocytoma","familial paraganglioma","O","Rec","TSG","Mis, N, F","","","","COSG353703","SDHB","6390,ENSG00000117118.9,P21912,SDH,SDH1,SDHB"
"592","SDHC","ENSG00000143252.14","ENSG00000143252",6391,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",1,"1:161314257-161375340","",23.3,"","yes","","paraganglioma, pheochromocytoma","familial paraganglioma","O","Rec","TSG","Mis, N, F","","","","COSG253768","SDHC","6391,CYB560,ENSG00000143252.14,PGL3,Q99643,SDHC,cybL"
"593","SDHD","ENSG00000204370.10","ENSG00000204370",6392,"succinate dehydrogenase complex, subunit D, integral membrane protein",1,"11:112086773-112095794","",23.1,"","yes","","paraganglioma, pheochromocytoma","familial paraganglioma","O","Rec","TSG","Mis, N, F, S","","","","COSG387463","SDHD","6392,ENSG00000204370.10,O14521,PGL,PGL1,SDHD,cybS"
"594","SEPT5","ENSG00000184702.19","ENSG00000184702",5413,"septin 5",2,"22:19714464-19723319","",11.21,"yes","","AML","","","L","Dom","fusion","T","KMT2A","","","COSG367315","SEPT5","5413,ENSG00000184702.19,H5,HCDCREL-1,PNUTL1,Q99719,SEPT5"
"595","SEPT6","ENSG00000125354.22","ENSG00000125354",23157,"septin 6",2,"X:119617639-119693370","",24,"yes","","AML","","","L","Dom","fusion","T","KMT2A","","","COSG379426","SEPT6","23157,ENSG00000125354.22,KIAA0128,MGC16619,MGC20339,Q14141,SEP2,SEPT2,SEPT6"
"596","SEPT9","ENSG00000184640.17","ENSG00000184640",10801,"septin 9",2,"17:77281410-77500592","",25.3,"yes","","AML*","","","L","Dom","fusion","T","KMT2A","","","COSG335776","SEPT9","10801,AF17q25,ENSG00000184640.17,KIAA0991,MSF,MSF1,PNUTL4,Q9UHD8,SEPT9,SeptD1"
"597","SET","ENSG00000119335.16","ENSG00000119335",6418,"SET translocation",1,"9:128683655-128696400","",34.11,"yes","","T-ALL","","","L","Dom","oncogene, fusion","T","NUP214","","","COSG253704","SET","2PP2A,6418,ENSG00000119335.16,IGAAD,IPP2A2,PHAPII,Q01105,SET,TAF-I,TAF-IBETA"
"598","SETBP1","ENSG00000152217.17","ENSG00000152217",26040,"SET binding protein 1",1,"18:44680898-45068510","",12.3,"yes","yes","aCML, sAML, MDS/MPN-U, CMML, JMML","neuroepithelial tumours","Schinzel-Giedion syndrome","L","Dom","oncogene, fusion","Mis, T","NUP98","","","COSG393203","SETBP1","26040,ENSG00000152217.17,KIAA0437,Q9Y6X0,SEB,SETBP1"
"599","SETD1B","ENSG00000139718.10","ENSG00000139718",23067,"SET domain containing 1B ",2,"12:121804180-121830239","",24.31,"yes","","CRC, endometrium","","","E","","TSG","D, F","","","","COSG326171","SETD1B","23067,ENSG00000139718.10,KIAA1076,KMT2G,Q9UPS6,SETD1B,Set1B"
"600","SETD2","ENSG00000181555.20","ENSG00000181555",29072,"SET domain containing 2",1,"3:47016689-47163967","",21.31,"yes","","clear cell renal carcinoma","","","E","Rec","TSG","N, F, S, Mis","","","","COSG371674","SETD2","29072,ENSG00000181555.20,FLJ23184,HIF-1,HYPB,KIAA1732,KMT3A,Q9BYW2,SETD2"
"601","SETDB1","ENSG00000143379.12","ENSG00000143379",9869,"SET domain bifurcated 1",2,"1:150926339-150964735","",21.3,"yes","","malignant mesothelioma","","","E","","oncogene","F, Mis","","","","COSG388992","SETDB1","9869,ENSG00000143379.12,ESET,KG1T,KIAA0067,KMT1E,Q15047,SETDB1,TDRD21"
"602","SF3B1","ENSG00000115524.15","ENSG00000115524",23451,"splicing factor 3b, subunit 1, 155kDa",1,"2:197389784-197435091","Yes",33.1,"yes","","myelodysplastic syndrome","","","L","Dom","oncogene","Mis","","","","COSG280287","SF3B1","23451,ENSG00000115524.15,Hsh155,O75533,PRPF10,Prp10,SAP155,SF3B1,SF3b155"
"603","SFPQ","ENSG00000116560.10","ENSG00000116560",6421,"splicing factor proline/glutamine rich(polypyrimidine tract binding protein associated)",1,"1:35182932-35193148","Yes",34.3,"yes","","papillary renal","","","E","Dom","TSG, fusion","T","TFE3","","","COSG384684","SFPQ","6421,ENSG00000116560.10,P23246,PPP1R140,PSF,SFPQ"
"604","SFRP4","ENSG00000106483.11","ENSG00000106483",6424,"secreted frizzled related protein 4",1,"7:37905932-37916915","",14.1,"yes","","colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC","","","E","Rec","TSG","Mis","","yes  ","Pyle disease","COSG373763","SFRP4","6424,ENSG00000106483.11,FRP-4,FRPHE,FRZB-2,Q6FHJ7,SFRP4,frpHE"
"605","SGK1","ENSG00000118515.11","ENSG00000118515",6446,"serum/glucocorticoid regulated kinase 1",2,"6:134169246-134318058","",23.2,"yes","","Nodular lymphocyte predominant Hodgkin lymphoma","","","L","","oncogene","Mis","","","","COSG365939","SGK1","6446,ENSG00000118515.11,O00141,SGK,SGK1"
"606","SH2B3","ENSG00000111252.10","ENSG00000111252",10019,"SH2B adaptor protein 3",1,"12:111405948-111451623","",24.12,"yes","","MPN, sAML, erythrocytosis, B-ALL","","","L","Rec","TSG","Mis, F, N","","yes  ","Coeliac disease type 13; diabetes mellitus, insulin-dependent;","COSG201284","SH2B3","10019,ENSG00000111252.10,IDDM20,LNK,Q9UQQ2,SH2B3"
"607","SH3GL1","ENSG00000141985.9","ENSG00000141985",6455,"SH3-domain GRB2-like 1 (EEN)",1,"19:4360370-4400547","",13.3,"yes","","AL","","","L","Dom","oncogene, fusion","T","KMT2A","","","COSG324707","SH3GL1","6455,CNSA1,EEN,ENSG00000141985.9,MGC111371,Q99961,SH3D2B,SH3GL1,SH3P8"
"608","SHTN1","ENSG00000187164.19","ENSG00000187164",57698,"KIAA1598",2,"10:116883377-117005577","",25.3,"yes","","Spitzoid tumour","","","E","Dom","fusion","T","ROS1","","","COSG366330","SHTN1","57698,A0MZ66,ENSG00000187164.19,KIAA1598,SHTN1,shootin-1,shootin1"
"609","SIRPA","ENSG00000198053.11","ENSG00000198053",140885,"signal regulatory protein alpha",2,"20:1894508-1940592","",13,"yes","","HNSCC, colorectal cancer, Lung SCC","","","E","","TSG","O, F","","","","COSG299518","SIRPA","140885,BIT,CD172a,ENSG00000198053.11,MFR,MYD-1,P78324,P84,PTPNS1,SHPS-1,SHPS1,SIRP,SIRP-ALPHA-1,SIRPA,SIRPalpha,SIRPalpha2"
"610","SIX1","ENSG00000126778.9","ENSG00000126778",6495,"SIX homeobox 1",1,"14:60643415-60649462","Yes",23.1,"yes","","Wilms tumour","","","O","","oncogene","Mis","","","","COSG354344","SIX1","6495,DFNA23,ENSG00000126778.9,Q15475,SIX1"
"611","SIX2","ENSG00000170577.7","ENSG00000170577",10736,"SIX homeobox 2",2,"2:45005161-45009430","",21,"yes","","Wilms tumour","","","O","","oncogene","Mis","","","","COSG369093","SIX2","10736,ENSG00000170577.7,Q9NPC8,SIX2"
"612","SKI","ENSG00000157933.9","ENSG00000157933",6497,"SKI proto-oncogene",2,"1:2228695-2310119","",36.33,"yes","","melanoma","","","E","","oncogene","Mis","","","","COSG296915","SKI","6497,ENSG00000157933.9,P12755,SKI"
"613","SLC34A2","ENSG00000157765.12","ENSG00000157765",10568,"solute carrier family 34 (sodium phosphate), member 2",1,"4:25655844-25678748","Yes",15.2,"yes","","NSCLC","","","E","Dom","TSG, fusion","T","ROS1","","","COSG365122","SLC34A2","10568,ENSG00000157765.12,NAPI-3B,O95436,SLC34A2"
"614","SLC45A3","ENSG00000158715.5","ENSG00000158715",85414,"solute carrier family 45, member 3",1,"1:205657851-205680459","Yes",32.1,"yes","","prostate","","","E","Dom","fusion","T","ETV1, ETV5, ELK4, ERG, BRAF","","","COSG393082","SLC45A3","85414,ENSG00000158715.5,IPCA-2,IPCA-6,IPCA-8,PCANAP2,PCANAP6,PCANAP8,Q96JT2,SLC45A3,prostein"
"615","SMAD2","ENSG00000175387.15","ENSG00000175387",4087,"SMAD family member 2",1,"18:47808957-47930559","Yes",21.1,"yes","","colorectal carcinoma, hepatocellular carcinoma","","","E","Rec","TSG","Mis, N","","","","COSG225665","SMAD2","4087,ENSG00000175387.15,JV18-1,MADH2,MADR2,Q15796,SMAD2"
"616","SMAD3","ENSG00000166949.15","ENSG00000166949",4088,"SMAD family member 3",1,"15:67065845-67195195","Yes",22.33,"yes","","colorectal carcinoma, oral squamous cell carcinoma","","","E","Rec","TSG","Mis","","","","COSG337265","SMAD3","4088,ENSG00000166949.15,HsT17436,JV15-2,MADH3,P84022,SMAD3"
"617","SMAD4","ENSG00000141646.13","ENSG00000141646",4089,"SMAD family member 4",1,"18:51030213-51085039","Yes",21.2,"yes","yes","colorectal, pancreatic, small intestine","gastrointestinal polyp","juvenile polyposis","E","Rec","TSG","D, Mis, N, F","","","","COSG204646","SMAD4","4089,DPC4,ENSG00000141646.13,MADH4,Q13485,SMAD4"
"618","SMARCA4","ENSG00000127616.18","ENSG00000127616",6597,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",1,"19:10960825-11062282","",13.2,"yes","","NSCLC, SCCOHT","","","E","Rec","TSG","F, N, Mis, S","","","","COSG242777","SMARCA4","6597,BAF190,BRG1,ENSG00000127616.18,FLJ39786,P51532,SMARCA4,SNF2,SNF2-BETA,SNF2L4,SNF2LB,SWI2,hSNF2b"
"619","SMARCB1","ENSG00000099956.19","ENSG00000099956",6598,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",1,"22:23786963-23834505","",11.23,"yes","yes","malignant rhabdoid","malignant rhabdoid","rhabdoid predisposition syndrome","M","Rec","TSG","D, N, F, S","","","","COSG325015","SMARCB1","6598,BAF47,ENSG00000099956.19,Ini1,PPP1R144,RDT,SMARCB1,SNF5,SNF5L1,Sfh1p,Snr1,hSNFS"
"620","SMARCD1","ENSG00000066117.14","ENSG00000066117",6602,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",1,"12:50084972-50100712","",13.12,"yes","","breast","","","E","Rec","TSG","N","","","","COSG308982","SMARCD1","6602,BAF60A,CRACD1,ENSG00000066117.14,Q96GM5,Rsc6p,SMARCD1"
"621","SMARCE1","ENSG00000073584.19","ENSG00000073584",6605,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",1,"17:40624962-40648864","",21.2,"","yes","","meningioma","","O","Rec","TSG","F, Mis, N","","","","COSG382926","SMARCE1","6605,BAF57,ENSG00000073584.19,Q969G3,SMARCE1"
"622","SMC1A","ENSG00000072501.17","ENSG00000072501",8243,"structural maintenance of chromosomes 1A",2,"X:53374149-53422728","",11.22,"yes","","AML","","","L","","TSG","Mis","","yes  ","Cornelia de Lange syndrome ","COSG239772","SMC1A","8243,DXS423E,ENSG00000072501.17,KIAA0178,Q14683,SB1.8,SMC1A,SMC1L1,Smcb"
"623","SMO","ENSG00000128602.9","ENSG00000128602",6608,"smoothened homolog (Drosophila)",1,"7:129188872-129213545","",32.1,"yes","","skin basal cell","","","E","Dom","oncogene","Mis","","","","COSG369331","SMO","6608,ENSG00000128602.9,FZD11,Q99835,SMO,SMOH"
"624","SND1","ENSG00000197157.10","ENSG00000197157",27044,"staphylococcal nuclease and tudor domain containing 1",1,"7:127652180-128092607","",32.1,"yes","","pancreas acinar carcinoma","","","E","Dom","oncogene, fusion","T","BRAF","","","COSG286922","SND1","27044,ENSG00000197157.10,Q7KZF4,SND1,TDRD11,p100"
"625","SNX29","ENSG00000048471.13","ENSG00000048471",92017,"RUN domain containing 2A",2,"16:11976738-12574289","",13.13,"yes","","PMBL, Hodgkin lymphoma","","","L","Dom","fusion","T","CIITA","","","COSG348097","SNX29","92017,ENSG00000048471.13,FLJ12363,Q8TEQ0,RUNDC2A,SNX29"
"626","SOCS1","ENSG00000185338.5","ENSG00000185338",8651,"suppressor of cytokine signaling 1",1,"16:11254417-11256200","",13.13,"yes","","Hodgkin lymphoma, PMBL","","","L","Rec","TSG","F, O","","","","COSG305901","SOCS1","8651,Cish1,ENSG00000185338.5,JAB,SOCS-1,SOCS1,SSI-1,TIP3"
"627","SOX2","ENSG00000181449.3","ENSG00000181449",6657,"SRY (sex determining region Y)-box 2",1,"3:181711924-181714436","",26.33,"yes","","NSCLC, oesophageal squamous carcinoma","","","E","Dom","oncogene","A","","yes  ","Microphthalmia and oesophageal atresia syndrome ","COSG263997","SOX2","6657,ENSG00000181449.3,P48431,SOX2"
"628","SOX21","ENSG00000125285.5","ENSG00000125285",11166,"SRY-box 21",2,"13:94709622-94712399","",32.1,"yes","","multiple myeloma","","","L","","TSG","D","","","","COSG199707","SOX21","11166,ENSG00000125285.5,Q9Y651,SOX21,SOX25"
"629","SPECC1","ENSG00000128487.16","ENSG00000128487",92521,"sperm antigen with calponin homology and coiled-coil domains 1",2,"17:20087022-20314755","",11.2,"yes","","JMML","","","L","Dom","fusion","T","PDGFRB","","","COSG383047","SPECC1","92521,CYTSB,ENSG00000128487.16,FLJ36955,HCMOGT-1,NSP,Q5M775,SPECC1"
